kind,benchmark,uops_stem,measured_primary,measured_cycles,uops_ref,delta,uops,ports,tp_unrolled,tp_loop,tp_ports
"latency","ADD_R64_I32 dest->dest","ADD_R64_I32",0.660236,0.989745,1.000000,-0.010255,1.000000,"",0.250000,0.270000,
"latency","ADD_R64_0 dest->dest","ADD_R64_0",0.653848,0.980169,1.000000,-0.019831,1.000000,"",0.250000,0.250000,
"latency","ADD_R64_R64 dest->dest","ADD_01_R64_R64",0.667077,1.000000,1.000000,0.000000,1.000000,"",0.250000,0.250000,
"latency","IMUL_R64_R64_I32 dest->dest","IMUL_R64_R64_I8",3.317394,4.973030,5.000000,-0.026970,1.000000,"",0.500000,0.500000,
"latency","SHL_R64_1 dest->dest","SHL_R64_1",0.680684,1.020398,1.000000,0.020398,1.000000,"",0.250000,0.250000,
"latency","ROR_R64_7 dest->dest","ROR_R64_I8",0.659518,0.988668,1.000000,-0.011332,1.000000,"",0.540000,0.560000,
"latency","POPCNT_R64_R64 src->dest","POPCNT_R64_R64",1.922954,2.882657,3.000000,-0.117343,1.000000,"",1.000000,1.000000,
"latency","LZCNT_R64_R64 src->dest","LZCNT_R64_R64",1.947446,2.919372,3.000000,-0.080628,1.000000,"",1.000000,1.000000,
"latency","CRC32_R64_R64 src/dest chain","CRC32_R64_R64",1.909120,2.861918,3.000000,-0.138082,1.000000,"",1.000000,1.000000,
"latency","ADDSD_XMM_XMM dest->dest","ADDSD_XMM_XMM",1.937128,2.903905,3.000000,-0.096095,1.000000,"",0.500000,0.500000,
"latency","MULSD_XMM_XMM dest->dest","MULSD_XMM_XMM",2.570225,3.852966,4.000000,-0.147034,1.000000,"",0.500000,0.500000,
"latency","DIVSD_XMM_XMM dest->dest","DIVSD_XMM_XMM",8.291198,12.429147,14.000000,-1.570853,1.000000,"",8.000000,8.000000,
"latency","SQRTSD_XMM_XMM src->dest","SQRTSD_XMM_XMM",10.337483,15.496686,18.000000,-2.503314,1.000000,"",12.000000,12.000000,
"latency","MOV_R64_M64 pointer chase","MOV_R64_M64",1.838176,2.755568,4.000000,-1.244432,1.000000,"",0.500000,0.500000,
"throughput","ADD_R64_I32 independent","ADD_R64_I32",0.151320,0.226840,0.250000,-0.023160,1.000000,"",0.250000,0.270000,
"throughput","ADD_R64_0 independent","ADD_R64_0",0.151244,0.226726,0.250000,-0.023274,1.000000,"",0.250000,0.250000,
"throughput","ADD_R64_R64 independent","ADD_01_R64_R64",0.151306,0.226819,0.250000,-0.023181,1.000000,"",0.250000,0.250000,
"throughput","IMUL_R64_R64_I32 independent","IMUL_R64_R64_I8",0.425446,0.637776,0.500000,0.137776,1.000000,"",0.500000,0.500000,
"throughput","SHL_R64_1 independent","SHL_R64_1",0.151358,0.226897,0.250000,-0.023103,1.000000,"",0.250000,0.250000,
"throughput","ROR_R64_7 independent","ROR_R64_I8",0.575878,0.863286,0.540000,0.323286,1.000000,"",0.540000,0.560000,
"throughput","POPCNT_R64_R64 independent","POPCNT_R64_R64",0.607127,0.910130,1.000000,-0.089870,1.000000,"",1.000000,1.000000,
"throughput","LZCNT_R64_R64 independent","LZCNT_R64_R64",0.606786,0.909619,1.000000,-0.090381,1.000000,"",1.000000,1.000000,
"throughput","CRC32_R64_R64 independent","CRC32_R64_R64",0.606007,0.908451,1.000000,-0.091549,1.000000,"",1.000000,1.000000,
"throughput","ADDSD_XMM_XMM independent","ADDSD_XMM_XMM",0.303641,0.455181,0.500000,-0.044819,1.000000,"",0.500000,0.500000,
"throughput","MULSD_XMM_XMM independent","MULSD_XMM_XMM",0.363856,0.545448,0.500000,0.045448,1.000000,"",0.500000,0.500000,
"throughput","DIVSD_XMM_XMM independent","DIVSD_XMM_XMM",4.863277,7.290428,8.000000,-0.709572,1.000000,"",8.000000,8.000000,
"throughput","SQRTSD_XMM_XMM independent","SQRTSD_XMM_XMM",7.309670,10.957760,12.000000,-1.042240,1.000000,"",12.000000,12.000000,
