kind,benchmark,uops_stem,measured_primary,measured_cycles,uops_ref,delta,uops,ports,tp_unrolled,tp_loop,tp_ports
"latency","ADD_R64_I32 dest->dest","ADD_R64_I32",0.093434,0.176420,1.000000,-0.823580,1.000000,"1*p0156B",0.200000,0.200000,0.200000
"latency","ADD_R64_0 dest->dest","ADD_R64_0",0.077748,0.146802,0.000000,0.146802,0.000000,"",0.200000,0.170000,
"latency","ADD_R64_R64 dest->dest","ADD_01_R64_R64",0.529610,1.000000,1.000000,0.000000,1.000000,"1*p0156B",0.200000,0.200000,0.200000
"latency","IMUL_R64_R64_I32 dest->dest","IMUL_R64_R64_I8",1.606140,3.032684,3.000000,0.032684,1.000000,"1*p1",1.000000,1.000000,1.000000
"latency","SHL_R64_1 dest->dest","SHL_R64_1",0.535922,1.011918,1.000000,0.011918,1.000000,"1*p06",0.500000,0.500000,0.500000
"latency","ROR_R64_7 dest->dest","ROR_R64_I8",0.513849,0.970240,1.000000,-0.029760,1.000000,"1*p06",0.500000,0.500000,0.500000
"latency","POPCNT_R64_R64 src->dest","POPCNT_R64_R64",1.566681,2.958179,3.000000,-0.041821,1.000000,"1*p1",1.000000,1.000000,1.000000
"latency","LZCNT_R64_R64 src->dest","LZCNT_R64_R64",1.593365,3.008563,3.000000,0.008563,1.000000,"1*p1",1.000000,1.000000,1.000000
"latency","CRC32_R64_R64 src/dest chain","CRC32_R64_R64",1.531681,2.892092,3.000000,-0.107908,1.000000,"1*p1",1.000000,1.000000,1.000000
"latency","ADDSD_XMM_XMM dest->dest","ADDSD_XMM_XMM",1.000861,1.889808,2.000000,-0.110192,1.000000,"1*p15",0.500000,0.500000,0.500000
"latency","MULSD_XMM_XMM dest->dest","MULSD_XMM_XMM",2.079584,3.926633,4.000000,-0.073367,1.000000,"1*p01",0.500000,0.500000,0.500000
"latency","DIVSD_XMM_XMM dest->dest","DIVSD_XMM_XMM",7.219317,13.631383,14.000000,-0.368617,1.000000,"1*p0",4.000000,4.000000,1.000000
"latency","SQRTSD_XMM_XMM src->dest","SQRTSD_XMM_XMM",6.488439,12.251353,16.000000,-3.748647,1.000000,"1*p0",4.500000,4.500000,1.000000
"latency","MOV_R64_M64 pointer chase","MOV_R64_M64",2.424594,4.578074,5.000000,-0.421926,1.000000,"1*p23A",0.330000,0.330000,0.330000
"throughput","ADD_R64_I32 independent","ADD_R64_I32",0.085473,0.161389,0.200000,-0.038611,1.000000,"1*p0156B",0.200000,0.200000,0.200000
"throughput","ADD_R64_0 independent","ADD_R64_0",0.078041,0.147356,0.200000,-0.052644,0.000000,"",0.200000,0.170000,
"throughput","ADD_R64_R64 independent","ADD_01_R64_R64",0.097473,0.184047,0.200000,-0.015953,1.000000,"1*p0156B",0.200000,0.200000,0.200000
"throughput","IMUL_R64_R64_I32 independent","IMUL_R64_R64_I8",0.466371,0.880593,1.000000,-0.119407,1.000000,"1*p1",1.000000,1.000000,1.000000
"throughput","SHL_R64_1 independent","SHL_R64_1",0.232059,0.438170,0.500000,-0.061830,1.000000,"1*p06",0.500000,0.500000,0.500000
"throughput","ROR_R64_7 independent","ROR_R64_I8",0.231416,0.436955,0.500000,-0.063045,1.000000,"1*p06",0.500000,0.500000,0.500000
"throughput","POPCNT_R64_R64 independent","POPCNT_R64_R64",0.463475,0.875125,1.000000,-0.124875,1.000000,"1*p1",1.000000,1.000000,1.000000
"throughput","LZCNT_R64_R64 independent","LZCNT_R64_R64",0.465322,0.878613,1.000000,-0.121387,1.000000,"1*p1",1.000000,1.000000,1.000000
"throughput","CRC32_R64_R64 independent","CRC32_R64_R64",0.463153,0.874517,1.000000,-0.125483,1.000000,"1*p1",1.000000,1.000000,1.000000
"throughput","ADDSD_XMM_XMM independent","ADDSD_XMM_XMM",0.235796,0.445226,0.500000,-0.054774,1.000000,"1*p15",0.500000,0.500000,0.500000
"throughput","MULSD_XMM_XMM independent","MULSD_XMM_XMM",0.232885,0.439729,0.500000,-0.060271,1.000000,"1*p01",0.500000,0.500000,0.500000
"throughput","DIVSD_XMM_XMM independent","DIVSD_XMM_XMM",1.847776,3.488937,4.000000,-0.511063,1.000000,"1*p0",4.000000,4.000000,1.000000
"throughput","SQRTSD_XMM_XMM independent","SQRTSD_XMM_XMM",2.076050,3.919960,4.500000,-0.580040,1.000000,"1*p0",4.500000,4.500000,1.000000
