kind,benchmark,ops_per_iter,median_primary,min_primary,p90_primary,median_thread,median_tsc
"latency","ADD_R64_I32 dest->dest",64,0.093434,0.076350,0.102392,0.093434,0.093448
"latency","ADD_R64_0 dest->dest",64,0.077748,0.069093,0.091847,0.077748,0.077743
"latency","ADD_R64_R64 dest->dest",64,0.529610,0.450501,0.578670,0.529610,0.529826
"latency","IMUL_R64_R64_I32 dest->dest",64,1.606140,1.502426,1.682188,1.606140,1.628211
"latency","SHL_R64_1 dest->dest",64,0.535922,0.452807,0.613935,0.535922,0.549245
"latency","ROR_R64_7 dest->dest",64,0.513849,0.457645,0.575306,0.513849,0.523537
"latency","POPCNT_R64_R64 src->dest",64,1.566681,1.466519,1.780649,1.566681,1.593561
"latency","LZCNT_R64_R64 src->dest",64,1.593365,1.441460,1.709326,1.593365,1.597195
"latency","CRC32_R64_R64 src/dest chain",64,1.531681,1.428646,1.631427,1.531681,1.544525
"latency","ADDSD_XMM_XMM dest->dest",64,1.000861,0.931958,1.095505,1.000861,1.001997
"latency","MULSD_XMM_XMM dest->dest",64,2.079584,1.920648,2.198720,2.079584,2.085639
"latency","DIVSD_XMM_XMM dest->dest",64,7.219317,6.753810,7.439068,7.219317,7.288543
"latency","SQRTSD_XMM_XMM src->dest",64,6.488439,6.225825,6.631953,6.488439,6.536405
"latency","MOV_R64_M64 pointer chase",64,2.424594,2.371489,2.504913,2.424594,2.457155
"throughput","ADD_R64_I32 independent",512,0.085473,0.076378,0.093845,0.085473,0.085522
"throughput","ADD_R64_0 independent",512,0.078041,0.075962,0.082468,0.078041,0.078925
"throughput","ADD_R64_R64 independent",512,0.097473,0.096032,0.099496,0.097473,0.098390
"throughput","IMUL_R64_R64_I32 independent",512,0.466371,0.461386,0.473595,0.466371,0.468431
"throughput","SHL_R64_1 independent",512,0.232059,0.230088,0.235186,0.232059,0.233422
"throughput","ROR_R64_7 independent",512,0.231416,0.229607,0.235451,0.231416,0.232818
"throughput","POPCNT_R64_R64 independent",512,0.463475,0.461500,0.470647,0.463475,0.465536
"throughput","LZCNT_R64_R64 independent",512,0.465322,0.461320,0.474162,0.465322,0.470239
"throughput","CRC32_R64_R64 independent",512,0.463153,0.459624,0.469867,0.463153,0.466587
"throughput","ADDSD_XMM_XMM independent",512,0.235796,0.230037,0.240365,0.235796,0.236908
"throughput","MULSD_XMM_XMM independent",512,0.232885,0.229507,0.239023,0.232885,0.234719
"throughput","DIVSD_XMM_XMM independent",512,1.847776,1.839399,1.868191,1.847776,1.858047
"throughput","SQRTSD_XMM_XMM independent",512,2.076050,2.069530,2.096470,2.076050,2.089133
