kind,benchmark,ops_per_iter,median_primary,min_primary,p90_primary,median_thread,median_tsc
"latency","ADD_R64_I32 dest->dest",64,0.660236,0.598929,0.816828,0.660236,0.660471
"latency","ADD_R64_0 dest->dest",64,0.653848,0.611175,0.705403,0.653848,0.654730
"latency","ADD_R64_R64 dest->dest",64,0.667077,0.601726,0.726229,0.667077,0.667930
"latency","IMUL_R64_R64_I32 dest->dest",64,3.317394,3.204041,3.556950,3.317394,3.331267
"latency","SHL_R64_1 dest->dest",64,0.680684,0.616732,0.712282,0.680684,0.681473
"latency","ROR_R64_7 dest->dest",64,0.659518,0.601008,0.723054,0.659518,0.660986
"latency","POPCNT_R64_R64 src->dest",64,1.922954,1.847473,2.005955,1.922954,1.926031
"latency","LZCNT_R64_R64 src->dest",64,1.947446,1.823472,2.049989,1.947446,1.949885
"latency","CRC32_R64_R64 src/dest chain",64,1.909120,1.849212,1.990270,1.909120,1.912505
"latency","ADDSD_XMM_XMM dest->dest",64,1.937128,1.847549,2.071495,1.937128,1.957210
"latency","MULSD_XMM_XMM dest->dest",64,2.570225,2.422742,2.712190,2.570225,2.574747
"latency","DIVSD_XMM_XMM dest->dest",64,8.291198,8.068574,8.463892,8.291198,8.321870
"latency","SQRTSD_XMM_XMM src->dest",64,10.337483,10.308153,10.727547,10.337483,10.397986
"latency","MOV_R64_M64 pointer chase",64,1.838176,1.831561,1.845886,1.838176,1.845077
"throughput","ADD_R64_I32 independent",512,0.151320,0.151131,0.153224,0.151320,0.151626
"throughput","ADD_R64_0 independent",512,0.151244,0.151126,0.152940,0.151244,0.151421
"throughput","ADD_R64_R64 independent",512,0.151306,0.151126,0.152345,0.151306,0.151532
"throughput","IMUL_R64_R64_I32 independent",512,0.425446,0.423561,0.427535,0.425446,0.426687
"throughput","SHL_R64_1 independent",512,0.151358,0.151136,0.152506,0.151358,0.151927
"throughput","ROR_R64_7 independent",512,0.575878,0.574442,0.579832,0.575878,0.579181
"throughput","POPCNT_R64_R64 independent",512,0.607127,0.605355,0.617001,0.607127,0.609316
"throughput","LZCNT_R64_R64 independent",512,0.606786,0.605303,0.608388,0.606786,0.611015
"throughput","CRC32_R64_R64 independent",512,0.606007,0.605397,0.608336,0.606007,0.609886
"throughput","ADDSD_XMM_XMM independent",512,0.303641,0.302602,0.304558,0.303641,0.305516
"throughput","MULSD_XMM_XMM independent",512,0.363856,0.362760,0.365132,0.363856,0.365567
"throughput","DIVSD_XMM_XMM independent",512,4.863277,4.855065,4.881263,4.863277,4.891487
"throughput","SQRTSD_XMM_XMM independent",512,7.309670,7.287668,7.330283,7.309670,7.365340
