uops_generated harness — XED-driven prototype
logical_cpu_requested=0 pinned=yes current_cpu=0 bench_count=166 samples=31 iters=100000
empty_loop_median: thread_ns=26930 tsc=90304

iform                                   iclass      med_ns   med_tsc
--------------------------------------------------------------------
VADDPD_XMM_XMM_XMM                      VADDPD       0.657     2.233
VADDPD_YMM_YMM_YMM                      VADDPD       0.657     2.233
VADDPS_XMM_XMM_XMM                      VADDPS       0.657     2.233
VADDPS_YMM_YMM_YMM                      VADDPS       0.657     2.233
VADDSD_XMM_XMM_XMM                      VADDSD       0.657     2.234
VADDSS_XMM_XMM_XMM                      VADDSS       0.657     2.233
VDIVPD_XMM_XMM_XMM                      VDIVPD       2.970    10.099
VDIVPD_YMM_YMM_YMM                      VDIVPD       2.970    10.097
VDIVPS_XMM_XMM_XMM                      VDIVPS       2.309     7.850
VDIVPS_YMM_YMM_YMM                      VDIVPS       2.310     7.857
VDIVSD_XMM_XMM_XMM                      VDIVSD       2.970    10.100
VDIVSS_XMM_XMM_XMM                      VDIVSS       2.309     7.852
VMAXPD_XMM_XMM_XMM                      VMAXPD       0.216     0.734
VMAXPD_YMM_YMM_YMM                      VMAXPD       0.216     0.735
VMAXPS_XMM_XMM_XMM                      VMAXPS       0.216     0.735
VMAXPS_YMM_YMM_YMM                      VMAXPS       0.216     0.734
VMAXSD_XMM_XMM_XMM                      VMAXSD       0.216     0.735
VMAXSS_XMM_XMM_XMM                      VMAXSS       0.216     0.735
VMINPD_XMM_XMM_XMM                      VMINPD       0.216     0.735
VMINPD_YMM_YMM_YMM                      VMINPD       0.216     0.734
VMINPS_XMM_XMM_XMM                      VMINPS       0.216     0.735
VMINPS_YMM_YMM_YMM                      VMINPS       0.216     0.735
VMINSD_XMM_XMM_XMM                      VMINSD       0.216     0.734
VMINSS_XMM_XMM_XMM                      VMINSS       0.216     0.735
VMULPD_XMM_XMM_XMM                      VMULPD       0.657     2.234
VMULPD_YMM_YMM_YMM                      VMULPD       0.657     2.233
VMULPS_XMM_XMM_XMM                      VMULPS       0.657     2.233
VMULPS_YMM_YMM_YMM                      VMULPS       0.657     2.233
VMULSD_XMM_XMM_XMM                      VMULSD       0.657     2.233
VMULSS_XMM_XMM_XMM                      VMULSS       0.657     2.233
VSQRTPD_XMM_XMM                         VSQRTPD      1.877     6.381
VSQRTPD_YMM_YMM                         VSQRTPD      1.868     6.353
VSQRTPS_XMM_XMM                         VSQRTPS      1.097     3.731
VSQRTPS_YMM_YMM                         VSQRTPS      1.097     3.731
VSQRTSD_XMM_XMM_XMM                     VSQRTSD      4.513    15.348
VSQRTSS_XMM_XMM_XMM                     VSQRTSS      3.190    10.847
VSUBPD_XMM_XMM_XMM                      VSUBPD       0.657     2.233
VSUBPD_YMM_YMM_YMM                      VSUBPD       0.657     2.233
VSUBPS_XMM_XMM_XMM                      VSUBPS       0.657     2.233
VSUBPS_YMM_YMM_YMM                      VSUBPS       0.657     2.233
VSUBSD_XMM_XMM_XMM                      VSUBSD       0.658     2.236
VSUBSS_XMM_XMM_XMM                      VSUBSS       0.657     2.232
ADD_R64_I32                             ADD          0.216     0.735
ADD_R64_I8                              ADD          0.216     0.734
AND_R64_I32                             AND          0.216     0.735
AND_R64_I8                              AND          0.216     0.735
BSF_R64_R64                             BSF          0.657     2.233
BSR_R64_R64                             BSR          0.877     2.982
IMUL_R64_R64                            IMUL         0.657     2.233
IMUL_R64_R64_I32                        IMUL         0.657     2.233
IMUL_R64_R64_I8                         IMUL         0.657     2.234
OR_R64_I32                              OR           0.216     0.735
OR_R64_I8                               OR           0.216     0.735
ROL_R64_1                               ROL          0.216     0.735
ROL_R64_I8                              ROL          0.216     0.736
ROR_R64_1                               ROR          0.216     0.736
ROR_R64_I8                              ROR          0.218     0.741
SAR_R64_1                               SAR          0.230     0.784
SAR_R64_I8                              SAR          0.233     0.792
SHL_R64_1                               SHL          0.234     0.796
SHL_R64_I8                              SHL          0.235     0.798
SHR_R64_1                               SHR          0.235     0.800
SHR_R64_I8                              SHR          0.235     0.800
SUB_R64_I32                             SUB          0.224     0.761
SUB_R64_I8                              SUB          0.223     0.758
XOR_R64_I32                             XOR          0.223     0.758
XOR_R64_I8                              XOR          0.223     0.759
ANDN_R64_R64_R64                        ANDN         0.223     0.759
BEXTR_R64_R64_R64                       BEXTR        0.236     0.804
BLSI_R64_R64                            BLSI         0.192     0.651
